               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.046843,            0.016105,            0.027526,             0.42766,                   1,             0.58057,             0.31773,            0.026239,            0.008478,            0.019359,            0.008515,            0.008515,            0.008515
                  77,            0.038863,            0.013694,            0.029078,             0.50173,                   1,             0.69893,             0.29656,            0.029473,           0.0074479,            0.019019,           0.0084952,           0.0084952,           0.0084952
                  78,            0.046642,            0.013788,             0.02975,             0.50173,                   1,             0.69893,             0.29656,            0.029473,           0.0074479,            0.019019,           0.0084754,           0.0084754,           0.0084754
                  79,            0.039587,            0.010556,            0.023398,             0.52361,                 0.8,              0.6903,              0.2267,            0.043439,           0.0074121,            0.018918,           0.0084556,           0.0084556,           0.0084556
                  80,            0.041889,            0.014664,            0.029491,             0.52361,                 0.8,              0.6903,              0.2267,            0.043439,           0.0074121,            0.018918,           0.0084358,           0.0084358,           0.0084358
                  81,            0.046843,           0.0098707,            0.021828,             0.56863,                 0.8,             0.77318,             0.50175,            0.036823,           0.0068236,            0.018519,            0.008416,            0.008416,            0.008416
                  82,             0.04643,            0.012634,            0.029169,             0.56863,                 0.8,             0.77318,             0.50175,            0.036823,           0.0068236,            0.018519,           0.0083962,           0.0083962,           0.0083962
                  83,            0.045848,            0.015452,            0.026148,             0.60383,             0.93836,             0.82778,             0.27991,            0.031327,           0.0073934,            0.017961,           0.0083764,           0.0083764,           0.0083764
                  84,            0.049907,            0.012323,            0.026371,             0.60383,             0.93836,             0.82778,             0.27991,            0.031327,           0.0073934,            0.017961,           0.0083566,           0.0083566,           0.0083566
                  85,            0.044775,            0.013146,            0.029547,             0.60493,             0.88487,             0.78021,             0.50874,            0.026834,           0.0074406,            0.018175,           0.0083368,           0.0083368,           0.0083368
                  86,            0.044421,            0.013943,            0.027574,             0.60493,             0.88487,             0.78021,             0.50874,            0.026834,           0.0074406,            0.018175,            0.008317,            0.008317,            0.008317
                  87,            0.043106,            0.012905,            0.025141,              0.4961,             0.82226,             0.57604,             0.24555,            0.027851,           0.0070205,            0.017873,           0.0082972,           0.0082972,           0.0082972
                  88,            0.044962,            0.015465,            0.027081,              0.4961,             0.82226,             0.57604,             0.24555,            0.027851,           0.0070205,            0.017873,           0.0082774,           0.0082774,           0.0082774
                  89,            0.043132,             0.01133,            0.026848,             0.60298,              0.8004,             0.79687,             0.47212,            0.025858,           0.0070998,            0.017175,           0.0082576,           0.0082576,           0.0082576
                  90,            0.037568,            0.013523,            0.023359,             0.60298,              0.8004,             0.79687,             0.47212,            0.025858,           0.0070998,            0.017175,           0.0082378,           0.0082378,           0.0082378
                  91,            0.036566,            0.013249,            0.024047,             0.64973,                0.85,             0.76097,             0.44853,             0.02891,           0.0070089,            0.016587,            0.008218,            0.008218,            0.008218
                  92,            0.045818,             0.01461,            0.025105,             0.64973,                0.85,             0.76097,             0.44853,             0.02891,           0.0070089,            0.016587,           0.0081982,           0.0081982,           0.0081982
                  93,            0.046607,            0.011847,             0.02678,             0.60034,                 0.8,             0.77771,             0.41094,            0.030602,           0.0069615,            0.016388,           0.0081784,           0.0081784,           0.0081784
                  94,            0.040738,            0.010271,            0.022946,             0.60034,                 0.8,             0.77771,             0.41094,            0.030602,           0.0069615,            0.016388,           0.0081586,           0.0081586,           0.0081586
                  95,            0.047039,             0.01383,            0.025167,             0.65408,             0.82527,              0.7798,             0.50087,            0.023264,           0.0069241,            0.015477,           0.0081388,           0.0081388,           0.0081388
                  96,            0.035946,            0.011571,            0.023528,             0.65408,             0.82527,              0.7798,             0.50087,            0.023264,           0.0069241,            0.015477,            0.008119,            0.008119,            0.008119
                  97,            0.040848,            0.012152,            0.024184,             0.64724,                0.85,             0.80507,             0.50971,            0.029991,           0.0068569,            0.014672,           0.0080992,           0.0080992,           0.0080992
                  98,             0.04531,              0.0113,            0.023946,             0.64724,                0.85,             0.80507,             0.50971,            0.029991,           0.0068569,            0.014672,           0.0080794,           0.0080794,           0.0080794
                  99,            0.052473,            0.011957,            0.025971,             0.72831,                 0.9,             0.87603,             0.52216,            0.025851,           0.0069978,             0.01372,           0.0080596,           0.0080596,           0.0080596
                 100,            0.046228,            0.010983,            0.030988,             0.72831,                 0.9,             0.87603,             0.52216,            0.025851,           0.0069978,             0.01372,           0.0080398,           0.0080398,           0.0080398
                 101,            0.038758,            0.016247,            0.025685,             0.68407,                0.95,             0.90148,             0.61305,            0.020817,           0.0069713,            0.013357,             0.00802,             0.00802,             0.00802
                 102,            0.039377,            0.011608,            0.024332,             0.68407,                0.95,             0.90148,             0.61305,            0.020817,           0.0069713,            0.013357,           0.0080002,           0.0080002,           0.0080002
                 103,            0.040138,             0.01301,            0.028976,             0.47131,                0.95,             0.70315,             0.31381,             0.02563,           0.0070498,            0.012472,           0.0079804,           0.0079804,           0.0079804
                 104,            0.032713,            0.011606,            0.018517,             0.47131,                0.95,             0.70315,             0.31381,             0.02563,           0.0070498,            0.012472,           0.0079606,           0.0079606,           0.0079606
                 105,            0.033815,            0.011198,            0.017686,             0.80604,                 0.9,             0.90892,             0.59686,            0.024208,           0.0065275,            0.012087,           0.0079408,           0.0079408,           0.0079408
                 106,            0.051991,            0.012988,            0.023859,             0.80604,                 0.9,             0.90892,             0.59686,            0.024208,           0.0065275,            0.012087,            0.007921,            0.007921,            0.007921
                 107,            0.052482,            0.011213,            0.024021,             0.52654,                0.85,             0.74402,             0.34519,            0.024651,           0.0063563,            0.011893,           0.0079012,           0.0079012,           0.0079012
                 108,             0.03867,            0.015315,            0.018823,             0.52654,                0.85,             0.74402,             0.34519,            0.024651,           0.0063563,            0.011893,           0.0078814,           0.0078814,           0.0078814
                 109,            0.043396,            0.011197,            0.026681,             0.51877,                0.95,             0.72806,             0.53554,            0.028493,           0.0063163,            0.010703,           0.0078616,           0.0078616,           0.0078616
                 110,            0.042492,            0.011714,             0.02225,             0.51877,                0.95,             0.72806,             0.53554,            0.028493,           0.0063163,            0.010703,           0.0078418,           0.0078418,           0.0078418
                 111,            0.051325,            0.013295,            0.021282,             0.55192,                0.95,             0.73333,              0.3164,            0.024709,           0.0060246,            0.010368,            0.007822,            0.007822,            0.007822
                 112,            0.033446,             0.01145,            0.018926,             0.55192,                0.95,             0.73333,              0.3164,            0.024709,           0.0060246,            0.010368,           0.0078022,           0.0078022,           0.0078022
                 113,            0.040242,            0.012597,            0.022322,             0.84666,                0.95,             0.91263,             0.60496,            0.023217,           0.0057952,            0.010158,           0.0077824,           0.0077824,           0.0077824
                 114,             0.03621,            0.011983,            0.019955,             0.84666,                0.95,             0.91263,             0.60496,            0.023217,           0.0057952,            0.010158,           0.0077626,           0.0077626,           0.0077626
                 115,            0.036732,            0.013665,            0.021926,             0.68096,                0.95,             0.91477,             0.71733,            0.021223,           0.0057563,           0.0098219,           0.0077428,           0.0077428,           0.0077428
                 116,            0.033916,            0.013173,            0.020771,             0.68096,                0.95,             0.91477,             0.71733,            0.021223,           0.0057563,           0.0098219,            0.007723,            0.007723,            0.007723
                 117,              0.0389,            0.010167,            0.023516,             0.57231,             0.89124,             0.80311,             0.33137,            0.028148,           0.0059374,           0.0095914,           0.0077032,           0.0077032,           0.0077032
                 118,            0.039375,            0.010692,            0.017382,             0.57231,             0.89124,             0.80311,             0.33137,            0.028148,           0.0059374,           0.0095914,           0.0076834,           0.0076834,           0.0076834
                 119,            0.041153,            0.012566,            0.021332,             0.91891,                0.95,             0.93641,             0.55441,            0.022884,           0.0059753,           0.0095866,           0.0076636,           0.0076636,           0.0076636
                 120,            0.036493,            0.009479,            0.015535,             0.91891,                0.95,             0.93641,             0.55441,            0.022884,           0.0059753,           0.0095866,           0.0076438,           0.0076438,           0.0076438
                 121,             0.03922,            0.010861,            0.020985,             0.92841,                0.95,             0.93102,             0.57128,            0.023976,           0.0060991,             0.00929,            0.007624,            0.007624,            0.007624
                 122,            0.036532,            0.011184,             0.01869,             0.92841,                0.95,             0.93102,             0.57128,            0.023976,           0.0060991,             0.00929,           0.0076042,           0.0076042,           0.0076042
                 123,            0.039392,            0.010927,            0.018047,             0.93356,                0.95,             0.93311,             0.45255,            0.022665,           0.0059615,           0.0087813,           0.0075844,           0.0075844,           0.0075844
                 124,             0.03637,              0.0106,            0.017729,             0.93356,                0.95,             0.93311,             0.45255,            0.022665,           0.0059615,           0.0087813,           0.0075646,           0.0075646,           0.0075646
                 125,            0.036855,            0.013231,             0.02164,              0.8807,                0.95,             0.91858,              0.5476,            0.025335,           0.0056526,           0.0085951,           0.0075448,           0.0075448,           0.0075448
                 126,            0.037205,           0.0098036,            0.025032,              0.8807,                0.95,             0.91858,              0.5476,            0.025335,           0.0056526,           0.0085951,            0.007525,            0.007525,            0.007525
                 127,            0.037113,           0.0091018,            0.015736,             0.92896,                0.95,             0.94255,             0.67212,            0.016428,           0.0052908,           0.0085529,           0.0075052,           0.0075052,           0.0075052
